DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-01,A-LH-003,ML,A-DL-008,AI(L),AI(L),B-201,CC|SPM,B-201,UHV,X
TUE,CSE-01,---,X,---,X,X,---,X,---,X,X
WED,CSE-01,---,X,B-201,X,AI,A-DL-008,AD,A-DL-008,AD(L),AD(L)
THU,CSE-01,---,X,B-201,ML,AI,B-201,UHV,B-201,CC|SPM,X
FRI,CSE-01,B-201,X,B-201,AI,CC|SPM,B-201,ML,B-201,UHV,X
SAT,CSE-01,---,X,B-201,X,ML,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-02,---,X,B-201,X,CC|SPM,B-202,ML,B-202,UHV,X
TUE,CSE-02,---,X,---,X,X,B-201,AI,B-201,UHV,ML
WED,CSE-02,---,X,---,X,X,---,X,---,X,X
THU,CSE-02,B-202,X,B-202,ML,CC|SPM,A-DL-008,AD,A-DL-008,AD(L),AD(L)
FRI,CSE-02,B-202,AI,B-202,CC|SPM,UHV,---,X,---,X,X
SAT,CSE-02,---,X,A-DL-106,AI(L),AI(L),A-LH-003,AI,A-LH-003,ML,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-03,---,X,---,X,X,B-203,ML,B-203,CC|SPM,AI
TUE,CSE-03,B-201,X,B-201,CC|SPM,AI,B-202,ML,B-202,UHV,X
WED,CSE-03,A-LH-004,ML,A-DL-008,AI(L),AI(L),B-201,AI,B-201,UHV,X
THU,CSE-03,---,X,---,X,X,---,X,---,X,X
FRI,CSE-03,---,X,B-203,X,UHV,A-DL-008,AD,A-DL-008,AD(L),AD(L)
SAT,CSE-03,---,X,B-203,CC|SPM,ML,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-04,---,X,---,X,X,B-204,X,B-204,ML,UHV
TUE,CSE-04,A-LH-003,ML,A-DL-102,AI(L),AI(L),B-203,CC|SPM,B-203,AI,X
WED,CSE-04,B-202,AI,B-202,UHV,CC|SPM,B-202,ML,B-202,X,X
THU,CSE-04,---,X,B-304,X,ML,B-202,AI,B-202,UHV,CC|SPM
FRI,CSE-04,---,X,---,X,X,---,X,---,X,X
SAT,CSE-04,B-WL-102,AD,B-WL-102,AD(L),AD(L),---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-05,---,X,---,X,X,A-DL-008,AD,A-DL-008,AD(L),AD(L)
TUE,CSE-05,---,X,B-203,CC|SPM,AI,B-204,ML,B-204,X,X
WED,CSE-05,B-203,X,B-203,AI,CC|SPM,B-203,ML,B-203,UHV,X
THU,CSE-05,B-203,X,B-203,ML,UHV,---,X,---,X,X
FRI,CSE-05,A-LH-004,ML,A-DL-008,AI(L),AI(L),B-202,CC|SPM,B-202,UHV,AI
SAT,CSE-05,---,X,---,X,X,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-06,---,X,---,X,X,---,X,---,X,X
TUE,CSE-06,B-204,X,B-204,UHV,ML,A-DL-008,AD,A-DL-008,AD(L),AD(L)
WED,CSE-06,B-204,ML,B-204,CC|SPM,AI,---,X,---,X,X
THU,CSE-06,---,X,B-204,X,AI,B-203,ML,B-203,UHV,X
FRI,CSE-06,B-204,AI,B-204,CC|SPM,UHV,B-203,X,---,X,X
SAT,CSE-06,A-LH-003,ML,A-DL-008,AI(L),AI(L),B-404,CC|SPM,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-07,A-LH-004,ML,A-DL-001,AI(L),AI(L),B-205,UHV,B-205,CC|SPM,AI
TUE,CSE-07,---,X,---,X,X,---,X,---,X,X
WED,CSE-07,---,X,B-205,X,UHV,B-WL-101,AD,B-WL-101,AD(L),AD(L)
THU,CSE-07,B-205,X,B-205,CC|SPM,ML,---,X,---,X,X
FRI,CSE-07,---,X,B-205,X,CC|SPM,B-204,ML,B-204,AI,UHV
SAT,CSE-07,---,X,B-205,AI,ML,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-08,B-204,X,B-204,CC|SPM,ML,---,X,---,X,X
TUE,CSE-08,---,X,B-305,X,ML,B-205,AI,B-205,UHV,CC|SPM
WED,CSE-08,---,X,---,X,X,---,X,---,X,X
THU,CSE-08,B-206,X,B-206,UHV,AI,B-WL-101,AD,B-WL-101,AD(L),AD(L)
FRI,CSE-08,B-206,X,B-206,ML,UHV,---,X,---,X,X
SAT,CSE-08,A-LH-201,AI,A-DL-006,AI(L),AI(L),B-201,CC|SPM,B-201,ML,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-09,---,X,B-205,AI,ML,B-206,UHV,B-206,CC|SPM,X
TUE,CSE-09,B-205,X,B-205,CC|SPM,UHV,A-LH-207,ML,---,X,X
WED,CSE-09,B-201,ML,B-WL-101,AI(L),AI(L),B-205,AI,B-205,UHV,X
THU,CSE-09,---,X,---,X,X,---,X,---,X,X
FRI,CSE-09,---,X,---,X,X,B-WL-101,AD,B-WL-101,AD(L),AD(L)
SAT,CSE-09,B-301,CC|SPM,B-301,AI,ML,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-10,---,X,B-206,X,CC|SPM,B-301,AI,B-301,ML,X
TUE,CSE-10,---,X,B-206,AI,UHV,B-206,ML,B-206,X,X
WED,CSE-10,B-206,X,B-206,CC|SPM,AI,B-206,ML,B-206,UHV,X
THU,CSE-10,A-LH-003,ML,A-DL-001,AI(L),AI(L),B-204,CC|SPM,B-204,UHV,X
FRI,CSE-10,---,X,---,X,X,---,X,---,X,X
